圏域,カード種別,【入場】圏域,【入場】事業者名,【入場】路線名,【入場】駅名,【入場】都道府県,【入場】市町村区,【入場】時間帯,【出場】圏域,【出場】事業者名,【出場】路線名,【出場】駅名,【出場】都道府県,【出場】市町村区,所要時間（５分単位）,人数
1.首都圏,Suica,1.首都圏,東京地下鉄,南北線,志茂,東京都,北区,14,1.首都圏,東京地下鉄,南北線,王子神谷,東京都,北区,15,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,門前仲町,東京都,江東区,8,1.首都圏,東京地下鉄,日比谷線,茅場町,東京都,中央区,10,54
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿御苑前,東京都,新宿区,21,1.首都圏,東京地下鉄,丸ノ内線（１）,国会議事堂前,東京都,千代田区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,西新宿,東京都,新宿区,18,1.首都圏,東京地下鉄,南北線,王子,東京都,北区,35,1
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,秋葉原,東京都,千代田区,14,1.首都圏,東京地下鉄,丸ノ内線（１）,霞ケ関,東京都,千代田区,0,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,京橋,東京都,中央区,12,1.首都圏,東京地下鉄,銀座線,末広町,東京都,千代田区,0,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,18,1.首都圏,東京地下鉄,丸ノ内線（１）,後楽園,東京都,文京区,15,11
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,神谷町,東京都,港区,15,1.首都圏,東京地下鉄,銀座線,神田,東京都,千代田区,30,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,21,1.首都圏,東京地下鉄,有楽町線,永田町,東京都,千代田区,45,1
1.首都圏,pitapa,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,14,1.首都圏,東京地下鉄,丸ノ内線（１）,御茶ノ水,東京都,千代田区,10,1
1.首都圏,manaca,1.首都圏,東京地下鉄,丸ノ内線（１）,新中野,東京都,中野区,9,1.首都圏,東京地下鉄,丸ノ内線（１）,西新宿,東京都,新宿区,5,1
